,TrackId,ArtistName,Title,Lyrics,Mood
3000,TRLOHNE128F9320C4D,Sam Roberts,Them Kids,feels children dying breed feel home mouth feed wanna live geological time Im biological prime listens whos gonna hear listens disappear flip man quarter Playing songs guitar street corner Feeling like patron arts kids know dance rock roll said kids know dance rock roll listens whos gonna hear listens disappear understand kids know dance rock roll said kids know dance rock roll Theyre phone gotta control kids know dance rock roll golden years attack Were taking back were taking back golden years attack Were taking back were taking back Looking original voice beaten path leaves little choice melody thought found Reveals sleeping apostles high priests lived hustle keepers beat Were pressure reconcile point view contemporary style kids ones knew yell swamp coming cough cant sell songs Im Gonna away cant sell hair Started turning gray listens whos gonna hear listens disappear understand kids know dance rock roll said kids know dance rock roll high priests calling disciples fold kids know dance rock roll,Happy
3260,TRCJPGW128F92DDDA2,Simian Mobile Disco,Hotdog,Down down baby Down down baby Down down baby Down down baby Lets rhythm hands Lets rhythm feet Down down baby em get Hotdog Lets rhythm hands Lets rhythm feet Down down baby em get Hotdog Down down baby down roller coaster Sweet sweet baby Ill let Chimmi chimmi cocko bow chimmi chimmi chow Chimmi chimmi cocko bow chimmi chimmi chow Tell grandma sick bed Called doctor doctor said Lets rhythm head ding dong Lets rhythm head ding dong Lets rhythm hands Lets rhythm hands Lets rhythm beat Lets rhythm feet Lets rhythm hotdog Lets rhythm hotdog em get Ding dong hotdog Down down baby Down down baby down hotdog Down down baby Down down baby down hotdog Down down baby Down down baby down hotdog Down down baby Down down baby,Happy
2492,TRFPUCQ128F4297754,New Order,Slow Jam,look morning sky Today wind blowing hard bird flown high Pretty soon tired spent day rich man wealth wrong Im afternoon clear sun beating got thirsty beer sea sea rough feel sick like kind stuff beats arithmetic want world change like way wish cant gets alive survive hit miss cant early evening mist Looked beautiful sweeter kiss wish Im long long way home photograph monochrome Tells got feet knew alright clothes looking beat middle night want world change like way wish cant gets alive survive hit miss cant want world change like way wish cant gets alive survive hit miss cant cant cant cant cant cant cant cant cant,Happy
419,TRWLZIQ128F4259A58,Teenage Fanclub,Discolite,light Im waken sleeping words inside head morning surrounds feelings found grow world need think theres better place mind Got thing be Ooo ooo Ahhhh Ahhhh Ahhhh Ahhhh morning fades soon life cartoon Woke place belong endless fights disco lights think theres better place mind Got thing be Ooo ooo Ahhhh Ahhhh Ahhhh Ahhhh DJ plays tune Theres light inside moon takes breaks brake train time Ive waited long think theres better place mind Got thing be Ooo ooo think ooo ooo think ooo ooo think ooo ooo think ooo ooo,Happy
3805,TRVYUKA12903CEA428,Old Crow Medicine Show,Wagon Wheel,Headed south land pines Im thumbin way North Caroline Starin road Pray God headlights coast seventeen hours Pickin bouquet dogwood flowers Im hopin Raleigh baby tonight rock mama like wagon wheel Rock mama feel Hey mama rock Rock mama like wind rain Rock mama like southbound train Hey mama rock Runnin cold New England born fiddler oldtime string band baby plays guitar pick banjo Oh North country winters gettin Lost money playin poker leave aint turnin livin old life rock mama like wagon wheel Rock mama feel Hey mama rock Rock mama like wind rain Rock mama like southbound train Hey mama rock Walkin south Roanoke caught trucker Philly nice long toke hes headed west Cumberland Gap Johnson City Tennessee gotta sun hear baby callin know die Raleigh die free rock mama like wagon wheel Rock mama feel Hey mama rock Rock mama like wind rain Rock mama like southbound train Hey mama rock,Happy
1117,TRCFTGP128E0783B6D,The Beta Band,Out-Side,cried loud song today devil knows far went beach find path tried catch train went wanted to catch plane where flew all time flew just get love way x2 wished heart presume or outside outside catch little rain catch little rain pour little ride love way Im adreaming simple think tell knocking cranium reminds travel drum makes sound simple feeling adreamin crazy love way Im adreaming,Happy
603,TRFVYGI128E0789146,Lindsay Lohan,Rumors,Saturday steppin club Somebody wanna tell DJ turn feel energy body cant stop moving sound tell watching probably gonna write need little space breathe respect privacy cant let things wanna wanna understand wanna bring Im fun Im going live life not way want to Im tired rumors starting Im sick followed Im tired people lying Sayin want cant cant let live Im gonna way club People taking pictures think wanna floor throw hands air beat like What Ive gotta respectfully like cameras Cause want little room breathe respect privacy cant let things wanna wanna understand wanna bring Im fun wanna live life not way want to Im tired rumors starting Im sick followed Im tired people lying Sayin want cant cant let live Im gonna way need free mind my mind wanna dance good time good time Im tired rumors rumors Followed followed followed followed followed followed follow cant they theytheythey let live Im tired rumors starting Im sick followed Im tired people lying Sayin want cant cant let live Im gonna way Im tired rumors starting Im sick followed Im tired people lying Sayin want cant cant let live Im gonna way,Happy
440,TRZQIBG128F4278271,Mariah Carey,You Need Me,Wait minute walk away Let finish Ive got lot say yeah Baby Im gonna tolerate game play regret desert way yeah theres dry eyes Suddenly gonna realize know need Believe act hastily Baby remember need Honey listen big mistake Im system cant escape No theres hold hand Suddenly gonna understand know yeah need see uh huh Believe act hastily Baby remember need know hey need Believe act hastily Baby remember need understands like weve Baby turn leave know Coming right back me Yeah Woah know need Believe act hastily Baby remember need know need me need me need Believe me baby act hastily Baby remember need know need Believe yeah yeah yeah,Happy
2779,TRLFTVT128F425BCAE,Mando Diao,Motown Blood,said go said baby want said freeze said baby want freeze night day care long till file turns black black afternoon turns black black afternoon said you said said us said makes white blur night day care long till file turns black black gray turns black black gray said you care care mob care care sub care care mud Cause weve got motown blood veins Cause weve got motown blood veins said move said baby want said groove said baby want groove night day care long till file turns black black afternoon turns black black afternoon said you care,Happy
504,TRSOITY128F1496251,The Supremes,Come See About Me,Ive crying Cause Im lonely for you Smiles turned tears tears wash away fears gonna return ease fire burns keeps crying baby Keeps sighin baby hurry Come boy Come me baby Ive given friends friends gone peace shall find come matter Im gonna love crying baby Im gonna sighin baby come hurry Come Come me baby Sometimes Sometimes lifes uncertain arms maybe reach heart says Keeps crying baby on crying baby hurry Come boy Come me baby Come me know Im lonely Come me love Come me baby Come me Hurry hurry,Happy
2477,TRZTUWO128F42901FA,Rednex,Shooter,Hey honey hell shooter now honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter Now man love wanted man price head deputy Wants tag toe Hes better together start new plow field stew Come on darling Settle shooter honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter think gun hand Means know better getting old need family then Sundays church Time end search Heres life look Cause wife honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter Come me baby No tell maybe married shooter gonna burried Hey hey hey hey Hey hey hey hey honey steal money try pray Heaven tell you honey Like sun sunny Baby shooter tell you honey Like sun sunny Baby shooter,Happy
181,TRNGFSU128EF34C267,Cobra Starship,Keep It Simple,Ive seen future know Baby let Cant anymore right Im untrue hide youoo know need Baby easy dreams come true Im expect anymore aint got right want simple x2 Time keeps slipping were Music makes high getting floor Let groove booty shake dooo know need Baby easy dreams come true Im dont expect anymore aint got right want simple Repeat x 2 feel feel right right Im expect anymore aint got right want simple Repeat x 2,Happy
1402,TRJXRMY128F92F3819,Anthony David,Krooked Kop,Oh hey hey goes to think wanna protecting crime Whos protecting yea 24 hour patrol block stops drugs comin comin Yea kind makes wonder whos deliverin harassin askin ID aint nothin aint seein nothin Packed bag buddah aint high school shootah Im sure got bigger fish fry Chorus Crooked cop leave find Run game oh yea thats car tell po watchin spot live belong neighborhood Crooked cop leave find run game yea tell po watchin spot live belong neighborhood belong neighborhood Oh royal leader Fraternity brothers game oh yea like hang beat brothers wanna change things oh prerec ya Gotta power trail join force gotta hate black course way future Cause ruler reigns forever watcha gonna parties yeah yes find run game find fool tell po watchin spot live belong neighborhood Chorus,Happy
3340,TRLERKR128F1456BB4,Blackalicious,Blazing Arrow,Amazin phase days hazy ways Blazing Arrow rays range Asia way Rio De Janeiro craze crave work todays day major way Ill oh look saved day paved way hooray Rockin crew like razor blades today days away okay okay Im like laser ray keepin stains away dangerous ways rappin phrase pays things aint phase ageless ways cagey great displays yo hey aint game stays awake cause came play behave insane change game reamin Ill fade away disc play tape Camaro Amazin phase days hazy ways Blazing Arrow verbal God throw murder foe kill em learnin Im gorowing Im learnin wit em Infernal Ill explode returnin globe blow yo head zones patrol Rock roll tear soul like blunts alcohol knock toboggan loop doubt flow Im pro want knock cause real got glow Cosmic flows suppose thats supposed got go Howd ya know Intuition old safe surface figure purpose thats impossible logic disturb thought focus grow kind onus god know rock chocolate awkward thoughtless home office Im early morning coffee got ball roll Navajos double barrels Amazin phase days hazy ways Blazing Arrow,Happy
2962,TRJRSBO128F427F303,Anna Nalick,Paper Bag,run sun boxed shadow Said I laugh bottle caps wire neck aint fun But someday well old Ill damn beautiful Ill hide head paper bag Cause cant cant itll okay Fly little bee away theres rain me Yeah talk smiles like tough says Hey talk little louder think heart broken enough But someday well old Ill damn beautiful Ill hide head paper bag Cause cant cant itll okay Fly little bee away theres rain me days wade indigo Singing song radio blame puddles rain know gotta cheeks dry today Gotta cheating strategy baby Im gonna made But someday well old Ill damn beautiful Ill hide head paper bag Cause cant cant itll okay Fly little bee away theres rain me,Happy
3113,TRMFHRM128F425B959,Boney M.,Jingle Bells,Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Dashing thro snow onehorse open sleigh Oer fields go laughing way Bells bobtails ring making spirits bright fun ride sing sleighing song tonight Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh day ago thought Id ride soon Miss Fanny Bright seated horse lean lank Misfortune lot got drifted back weve got upset Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh Jingle bells Jingle bells Jingle way Oh fun ride onehorse open sleigh,Happy
389,TRRELVW128F4284FB8,Angela Bofill,Tonight I Give In,Somebody walked life hes right time Somebody looked eyes read mind true need tell thing dreamed come Somebody walked heart surprise Somebody tearing apart feels fine Ive waited oh long thing dreamed tonight feelings Tonight thrill loving tonight believing Id hear stay Somebody turned life Im Suddenly hear sound need tonight feelings Yes tonight thrill loving tonight believing stay love way Oh tonight feelings Yes tonight hold tonight believing darling thing dreamed come,Happy
1206,TRUTGLK128F92DD0BF,Eluveitie,The Somber Lay,murky presage roaming land silence skylarks chant somber kiss hand impart crimson robe Heed darksome maid Dancing equinox relegate persistence bleak darkness grows cryptal impellent devoted sublime round Beholden boons light Retreating quietness harken somber lay sing somber lay Close eyes heed vide shall sphere revolves promised Flames flickering deftly banish nipping air dark time hand Lighted bardic chant Heed darksome maid enwrap bleakness dark veil osilence quiet insight buds Darkness roaming land Long dead skylarks chant dark vis usurped command impart sallow robe Sure new light come lifewheel rotating onward Given promise assertive wear,Happy
961,TRBCYOI128F1455566,Beastie Boys,Crawlspace,Theres party going here real got product Ron Popeil deal that troop were troopers air time bloopers Beastie Boys place space renovate evacuate better think twice start flossing bathroom Taking punk MCs out Im todo list today turn party Getting hot room breathe got pen hand best sleep No Im Herman Munster Dr Spock King Adrock heres match ass face Listen tell dog Im crawlspace crawlspace house know thats wack Bite rhymes scanner Radio Shack suckers try like got force Ill slay like Vader sip course started intercourse aah step zone periphery Cant grab hold style slippery way act fool son cant erase running way like steeple chase tried title place busted wearing panties lace Stealing style trophy case drives secure like army base sneaking peeking trying chase aint gonna catch me Im crawlspace crawlspace Schematics blueprints microfilm Calibrate sonar Im realm Cause know were getting scarier scarier extends TriState Area Omnipresent omnipotent rhymes whales rodents means huge compared small look little chilly shawl Cause rhymes twohundred proof Theyre like anvils lined roof Waiting drop corny melon Cause buying selling want battle start whine looking hungry snack time run home feel safe sleep Cochise Im crawl space crawlspace,Happy
3398,TRWCWUS128F92FFC95,Brandy,The Definition,Whoowhoo definition Real good Dark Child dropped baggage Let habit pain Im content Im lovin skin got good man Feels like beginning Im content hard explain it heartache break shame played game I win started think wrong Til finally introduced happy greatest discovery mankind define existence love found Searched life rare true definition love definition baby definition baby traded frown Bought brand new smile Im wearing proudly Cause Im content longer uncertain Im sure verdict Im free love Im content hard explain it heartache kept breaking shamed played game I win started think wrong Til finally introduced happy greatest discovery mankind define existence love found Searched life rare true definition love definition baby definition baby Cause Ive digging years Barely past tears Cause thought heart disappeared you came life anew Showed truth greatest discovery mankind define existence love found Searched life rare true definition love greatest discovery mankind define existence love found Searched life rare true definition love definition baby definition baby definition baby definition defined,Happy
2678,TRWAUCC128F428E6FD,Jack Johnson,Staple It Together,bad prisoner past stabbed moment brown thumbtack held list things gotta good hes movin understood shot future foot step took Caught places cause forgot look Better staple bad weather Staple bad weather Staple bad weather Staple bad weather guess know begin Cause looked ways afraid deeper ditch chance missed mess cause hate strong word brick laid mistakes said walls getting taller world getting smaller Better staple bad weather Staple bad weather Staple bad weather Staple bad weather bad prisoner past stabbed moment brown thumbtack held list things hes got good hes movin understood shot future foot step took Caught places cause forgot look Better staple bad weather Staple bad weather Staple bad weather Staple bad weather weather gets better Spend little time well twice clever staple bad weather,Happy
1925,TRATSLE128F4272CD9,Brian McKnight,Stay,long time saw face keeping tight Appears proper place laugh 94 Reminiscing hoping little old time sake stay stay want me like want bodys calling Tell hear Im crazy gonna do stay Stay night young familiar mood fills air bought wine Run fingers hair mojos working feel it time reveal Lets fly away say want me like want bodys calling Tell hear Im crazy gonna do stay Stay worry bout thing girl Everythings alright alright smile face Well together Lets forget past yesterday yesterday today today stay want me like want bodys calling Tell hear Im crazy gonna do stay Stay,Happy
1013,TRDJWAO128F149F636,Corinne Bailey Rae,Butterfly,Ooo ooo yeah mothers house Theres photograph day gone past makes laugh Theres little girl Wary world got learn fingers burned infinity Cause were family Yeah said Id fine time left Like butterfly Chorus Shower love everyday milk gold sun shine Lift high Watch fly away life Like butterfly mothers house happiness ride chrysalis life unfolds pattern protecting protecting say Make mistakes sure remain realize mind left Like butterfly Chorus Shower love everyday milk gold sun shine Lift high Watch fly away life Like butterfly,Happy
512,TRCHJJY128E078F89C,Fairport Convention,Matty Groves,holiday holiday year Lord Donalds wife came church gospel hear meeting done cast eyes saw little Matty Groves walking crowd Come home me little Matty Groves come home tonight Come home me little Matty Groves sleep till light Oh cant come home come home sleep tonight rings fingers tell masters wife But Lord Donalds wife Lord Donalds home far cornfields bringing yearlings home servant standing hearing said swore Lord Donald know sun set hurry carry news bent breast ran came broad millstream took shoes swam Little Matty Groves lay took little sleep awoke Lord Donald standing feet Saying How like feather bed like sheets like lady lies arms asleep Oh like feather bed like sheets better like lady gay lies arms asleep Well up up Lord Donald cried get quick Itll said fair England slew naked man Oh cant up up cant life long beaten swords pocket knife Well true beaten swords cost deep purse better worse strike blow strike like man strike blow Ill kill can Matty struck blow hurt Lord Donald sore Lord Donald struck blow Matty struck Lord Donald took wife sat knee Saying Who like best us Matty Groves me spoke dear wife heard speak free Id kiss dead Mattys lips finery Lord Donald jumped loudly bawl struck wife right heart pinned wall A grave grave Lord Donald cried to lovers bury lady noble kin,Happy
1343,TROYUYP128F92EBF75,The Smiths,Nowhere Fast,Id like drop trousers world man means slender means household appliance like new science town day came felt natural emotion Id shock Id probably jump ocean train goes by sad sound No no no no sad thing Id like drop trousers Queen sensible child know means poor needy selfish greedy terms day came felt natural emotion Id shock Id probably jump ocean train goes by sad sound No no no no sad thing Im lying bed think life think death particularly appeals day came felt natural emotion Id shock Id probably lie middle street die Id lie die ohoh,Happy
1296,TRPAFCY128F931119B,Arctic Monkeys,A Certain Romance,oh wear classic Reeboks knackered Converse tracky bottoms tucked socks thats point points aint romance theres truth cant Theyd probably like throw punch them agree Agree aint romance know oh funny thing know Well tell em like Well tell em tonight Theyll listen minds course okay carry way there theres broken bones Theres music theres new ringtones Sherlock Holmes little different wrong oh theres boys bands kids like scrap pool cues hands cause hes couple o cans thinks right act like dickhead know oh funny thing know Well tell em like Well tell em tonight Theyll listen minds course okay carry way said Oh Oh Anywhere said Oh there theres friends say Ive known em long long time yeah overstep line angry way way way Oh no oh,Happy
2395,TRBWOFC128F42771F2,Roddy Frame,Bigger Brighter Better,Chevrolet Pontchartrain Blue grey driving rain Search play Naive melody touched heart Brave words bold relief time old belief Bigger brighter world looked filled face staring straight Bigger brighter better sold forever great river endless sea love supreme hell team messy birth dirty death Holding tight thought right begin squeeze love leaves Boy Yeah young chewing gum acting like dumbdumb sea woe lets numb Fast times high hopes whacked push envelope Bigger brighter world looked filled face staring straight Bigger brighter better sold forever great river endless sea sail stormy waters unaware weve got say Let go ride tide feel flow sense bombs Cant wait detonate like minesweeper Lover live truly bridges burning salted water Lover leave bring world Bigger brighter better sweet self,Happy
2772,TRJAYAL128F9305E3F,Racey,Kitty,played night thats little long think got right think got wrong Wht cant goodnight home Kitty means giving chills baby night leave Kitty Oh Kitty pity understand heart hand Oh Kitty pretty cant understand girls like Kitty Kitty Kitty break heart Kitty nose gonna know time little limb Theres know Kitty come way time want Ill like man baby leave jam Kitty,Happy
396,TRPAWQK128F428FEE6,Whitney Houston,Oh Yes,day held arms smell scent dress unbelievable masculine way felt chest felt heart breathe love amazing Unbelievable baby makes smile crazy love man faze Cause heart Im heart minute daily Yes time looked eyes felt like falling love mesmerized Cause makes feel way cant explain joy peace happiness amazing Unbelievable baby makes smile crazy love man faze Cause heart Im heart minute daily,Happy
3083,TRFLWJZ128F425C9E4,The Pharcyde,Otha Fish,Yeah bam bam bam hey ya whats up yeah like know Yeah bet got laid Yeah Imma uh Im sit couple hours Man sweat it yo gonna catch stuff dude Oh no Im kinda tired Nah got basket were gonna fill basket go yo Alright bro Cause otha fish took second register branium dome head skull cranium eyes enough time talking creep hounddogs stalking slimmy caught peeping means sleeping was crept like hawk minutes time adjourned floor Ooh hit high note cause way walking got groove bust no uh hiphop moves kept nice smooth thing know got together word thought wed forever umberella Im soaked stormy weather birds feather fly fall itll symping leave love life limp Therell suicide attempts slimtrim kid Cause know theres otha fish sea is sea sea In sea know theres otha fish sea In sea know theres otha fish sea In sea know theres otha fish sea reminisce try clear myths imaginary kiss friends wish mend Like tailor Olive Oyls number sailor ams am falls like anvil heavy mind handle men supposed tumble den Macho hancho like Pancho Family oriented Oriental dame supposed claim ya drive Pinto hero sandwich Manwich meal marriage paper faking real Whats deal dabbers tumbling man stand help roll faster reason ask Im sick Bitch licking drip drip niggas benefits suit ya hes surely ya size Im surprised slept heart thats worldwide ya open ya eyes babe mate wish ya bruise limb ya swim otha fish sea sea In sea know theres otha fish sea In sea know theres otha fish sea In sea know theres otha fish sea Now aint mountain high aint climbing up hand extended day lent ya thought knew ya know ya Bro stupid cause ya thought catch Cupid found love aint wiffs shit resign quit aint hips lips tits pussy whip Elizabeth slipped tripped shoe fit man stealing heart away Id charge like bull pull fades kid going crazy stepping lady working baby Im pushing daisies Hey diddle diddle play second fiddle man stand firm seal bliss big juicy kiss Big Gibraltar miss No diss Im like otha fish sea sea,Happy
571,TRGVSSS128EF340679,Kaiser Chiefs,Heat Dies Down,imagine Running steam Going motions idea know dip toes peoples oceans local knowledge local area impressed tried night things thought like worse impressed lot Slowly starting start heat dies Ill town time Ill round heat dies Well town time Ill round heat dies down heat dies down heat dies down heat dies imagine growing old hold Til death Cos right stroll 20 years Spending time Talking mothers Ive got wider knowledge world cant face argument rent important grander scheme things purpose built feel guilt Slowly ending end heat dies down Ill town time Ill round heat dies down Well town time Ill round heat dies down heat dies down heat dies down heat dies,Happy
726,TRQZJHL128F4298251,Kaiser Chiefs,Everyday I Love You Less and Less,Everyday love clear obsessed Ive got message press everyday love everyday love Ive got feeling chest Doctor says needs pills rest everyday love less know feel bones Im sick Im tired staying control Oh yes feel rat wheel Ive got know whats real Oh yes Im stressed Im sorry digressed Impressed dressed SOS Oh parents love Oh girlfriend loves Everyday love cant believe sex makes sick think undressed everyday love everyday love turning detest everybody says mess everyday love less know feel bones Im sick Im tired staying control Oh yes feel rat wheel Ive got know whats real Oh yes Im stressed Im sorry digressed Impressed dressed SOS Oh parents love Oh girlfriend loves Oh photos Oh thats love Oh parents love Oh girlfriend loves Oh photos Oh thats love,Happy
492,TRMFETD128E0793B93,Soundgarden,No Attention,Ive got war mind blood hands love head open hands open mouth Let said know Ive got mind waste time going change want spit loud Ill pay attention Theyre gonna tell walk smile flu mind waves got handful change throw away gonna come want suck Suck brain,Happy
3141,TRBYXHQ128F427F245,Bobby Vinton,Please Love Me Forever,love forever forget listen plea stop loving dreams nightly love lightly Begging bended knee stop loving Oh lay sleep pray Lord love Ill die wake Ill come Thats mistake Oh Ill love forever Cant forget love meant stop loving Ill love forever Cant forget love meant stop loving,Happy
85,TRFKENQ128F4284FE5,The Partridge Family,Every Little Bit O' You,Theres little bit girl run girl knew day went way true Theres lot hung little bit Theres little bit tender night share cant there look eyes realize true Theres lot hung little bit girl smile smile little girl touch touch yeah touched Till found touch Thats knew missed little Theres little bit hope hidin old heart Whispering therell time looked found Cause theres lot hung little bit Whoa little bit Theres little bit girl run girl knew day went way true Theres lot hung little bit Just little bit little bit Just little bit little bit Just little bit Just little bit little bit Just little bit little bit wanted needed Theres lot hung little bit Oh little bit baby wanted needed,Happy
